"GiftId","TripId"
91075,1
56893,1
85140,1
59711,1
53919,1
75542,1
50294,1
28466,1
15039,1
2260,1
96589,1
83703,1
24693,1
18060,1
28551,1
63639,1
10358,1
36772,1
57870,1
16026,1
54000,1
22852,1
18784,1
88912,1
93628,1
1765,1
57392,1
71291,1
25817,1
39374,1
56838,1
62693,1
44150,1
79233,1
17113,1
50096,1
86529,1
92683,1
6429,1
9251,1
93574,1
32467,1
95046,1
82172,1
78367,1
98343,1
69976,1
26544,1
36389,1
49362,1
72193,1
48423,1
28851,1
41391,1
84757,1
68848,1
3218,1
17151,1
66719,1
36992,1
74214,1
38930,1
63165,1
33959,1
6967,1
3032,1
14884,1
88499,1
99943,1
91603,1
86081,1
8559,1
31895,1
8594,1
49697,1
41202,1
65198,1
22952,1
95026,2
2956,2
19735,2
56178,2
19213,2
19391,2
25434,2
63535,2
85287,2
79756,2
56083,2
27991,2
85020,2
80335,2
31189,2
85544,2
79550,2
85418,2
38247,2
81945,2
843,2
54010,2
1357,2
76869,2
41801,2
57681,2
11881,2
22734,2
69240,2
15159,2
53213,2
32737,2
51267,2
11808,2
42037,2
60352,2
10126,2
40879,2
21424,2
71917,2
3073,2
89181,2
18740,2
3492,2
88574,2
69903,2
47515,2
6149,2
58257,2
11119,2
75434,2
57676,2
23156,2
94081,2
37161,2
83706,2
65205,2
40540,2
7590,2
78446,2
87836,2
32106,2
37197,2
34657,2
57506,2
30052,2
89007,2
56729,2
94464,2
82287,2
29177,2
85845,2
70900,2
47754,2
31364,2
56472,2
5402,2
35829,2
46883,2
24622,2
43704,2
15564,2
18929,2
91984,2
92717,2
63417,2
42551,3
17083,3
75510,3
93492,3
51932,3
18858,3
66418,3
25730,3
67636,3
33486,3
95674,3
54186,3
72318,3
77651,3
49045,3
84857,3
28267,3
3726,3
78591,3
6796,3
98725,3
46691,3
75513,3
56265,3
71119,3
88842,3
3708,3
49200,3
650,3
42098,3
68963,3
14235,3
68549,3
93046,3
49694,3
20734,3
11074,3
31021,3
29912,3
25125,3
69342,3
46733,3
81526,3
65671,3
92869,3
46759,3
89338,3
97306,3
87657,3
38495,3
61095,3
82856,3
44385,3
24051,3
29358,3
73027,3
31886,3
3978,3
42053,3
31741,3
78661,3
9619,3
92816,3
92822,3
7939,3
69179,3
87962,3
55293,3
935,3
48477,3
61660,3
65643,3
78682,3
11171,4
92484,4
75530,4
90374,4
30357,4
83461,4
27977,4
82971,4
10755,4
12657,4
21547,4
78516,4
41257,4
70144,4
62318,4
4492,4
4947,4
39039,4
20157,4
49156,4
95890,4
36144,4
17359,4
91562,4
72217,4
32956,4
92707,4
40759,4
19668,4
86072,4
52473,4
26857,4
44135,4
78711,4
44308,4
21273,4
54376,4
1336,4
48550,4
66496,4
59584,4
17631,4
72665,4
70395,4
53905,4
50719,4
89280,4
20612,4
58017,4
64299,4
98132,4
2266,4
74449,4
69613,4
26086,4
64067,4
46597,4
50316,4
36978,4
28541,4
98180,4
68879,4
90435,4
69487,4
10265,5
32417,5
47212,5
25565,5
2810,5
65586,5
20828,5
30087,5
91336,5
8131,5
11392,5
34154,5
85311,5
57936,5
61311,5
78627,5
45537,5
6909,5
6427,5
79679,5
19778,5
12590,5
47542,5
68929,5
41026,5
36349,5
90321,5
71760,5
70954,5
31184,5
38312,5
82404,5
13882,5
51440,5
11343,5
4424,5
52507,5
28370,5
18830,5
83294,5
84524,5
46900,5
76534,5
45900,5
38682,5
66918,5
90413,5
14807,5
43438,5
31393,5
30560,5
98420,5
1787,5
22872,5
22165,5
55906,5
13449,5
79659,5
31977,5
34523,5
58767,5
80491,5
52755,5
53143,5
36733,5
72182,5
43956,5
38965,5
565,6
7332,6
54236,6
51563,6
24596,6
49252,6
93377,6
67347,6
54864,6
4599,6
66088,6
18792,6
43217,6
46464,6
37536,6
45772,6
73294,6
81048,6
45719,6
29823,6
83341,6
38516,6
69610,6
12357,6
90835,6
55264,6
94847,6
61294,6
94776,6
49320,6
23129,6
76284,6
79410,6
49380,6
26530,6
36250,6
40361,6
18744,6
66402,6
